Sector,Sector Level 2,Sector Level 3,Sector Level 4,Technical Screening Criteria
1. Energy Saving and Environmental Protection Industry,1.1 Energy Efficiency Improvement,1.1.3 Energy Conservation of Power Facilities,1.1.3.1 Renovation of Green Lighting,"Energy-saving technology upgrading of high-efficient lighting products using LED , high / low pressure sodium lamps, metal halide lamps, three primary color double-ended tubular fluorescent lamps (Type T8 and T5), and other lighting facilities using natural light sources, both indoors and outdoors. The energy efficiency of the lighting products should meet Level One of the national standards, including the Energy Efficiency Limits and Energy Efficiency Grades of LED Products for Indoor Lighting (GB 30255), the Energy Efficiency Limits and Energy Efficiency Grades of LED Luminaires for Road and Tunnel Lighting (GB 37478), the Energy Efficiency Limits and Energy Efficiency Grades of LED Flat Lamp for General Lighting (GB 38450), the Energy Efficiency Limits and Energy Efficiency Grades of LED Flat Lamp for Double-ended Fluorescent Lamps for General Lighting (GB 19043), the Energy Efficiency Limits and Energy Efficiency Evaluation Value for Single-ended Fluorescent Lamp (GB 19415), the Energy Efficiency Limits and Energy Efficiency Grades for Self-ballasted Fluorescent Lamps for General Lighting (GB 19044), the Energy Efficiency Limits and Energy Efficiency Grades of AC Electronic Ballasts for Single-ended Non-polar Fluorescent Lamps (GB 29142), the Energy Efficiency Limits and Energy Efficiency Grades for Self-ballasted Non-polar Fluorescent Lamps for General Lighting (GB 29144)，the Energy Efficiency Limits and Energy Efficiency Grades for High-pressure Sodium Lamps (GB 19573), the Energy Efficiency Limits and Energy Efficiency Grades for Metal Halide lamps (GB 20054), and the Energy Efficiency Limits and Energy Efficiency Evaluation Value for Halide Tungsten Lamps (GB 31276)."
1. Energy Saving and Environmental Protection Industry,1.2 Sustainable Buildings,1.2.1 Green Building Materials,1.2.1.1 Manufacturing of Green Building Materials,"Manufacturing and consumption of green building materials products including energy-saving wall materials, thermal insulation materials for exterior walls, energy-saving glass, prefabricated building components, ready-mixed concrete, ready-mixed mortar, etc. The properties of products and technical specifications should meet national and industrial relevant technical requirements for green building materials products. Glass products for exterior walls shall reduce light pollution and urban heat island effect."
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.1 Manufacturing of Advanced Environment al Protection Facilities,1.3.1.1 Equipment Manufacturing for Water Pollution Prevention and Control,"Manufacturing and trading of the treatment and recycling equipment of urban and rural household sewage and industrial wastewater, pollution prevention and treatment equipment of surface water and groundwater, maintenance and testing equipment of dredging machinery and drainage pipe network, supporting equipment of sponge city construction, collection and treatment equipment of urban rainwater, safety control and leakage control equipment of drinking water. The technical level of equipment is encouraged to meet specifications of the Comprehensive Environmental Protection Catalogue (2017 Edition) and the Catalogue of Major Environmental Protection Equipment and Technology Encouraged by the State (2017 Edition) , and should meet the national standards including the Energy Efficiency Limits and Energy Efficiency Grades of Rotating Aerator for Sewage Treatment (GB 37483), the Energy Efficiency Limits and Energy Efficiency Grades of Submersible Pushing Mixer for Sewage Treatment (GB 37485), and the Technological Requirements for Evaluation of High Efficient Water Pollutant Control Equipment (GB/T 38220)."
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.1 Manufacturing of Advanced Environment al Protection Facilities,1.3.1.2 Equipment Manufacturing for Air Pollution Prevention and Control,"Manufacturing and trading of the equipment for flue gas dedusting, desulfurization and denitrification, treatment of volatile organic pollutants (VOCs), post-treatment of motor vehicle exhaust, food industry fume purification , and the equipment for greenhouse gas emission reduction such as the power switching equipment for SF6 replacement . The technical level of equipment is encouraged to meet specifications of the Comprehensive Environmental Protection Catalogue (2017 Edition) and the Catalogue of Major Environmental Protection Equipment and Technology Encouraged by the State (2017 Edition), and should meet the national standards of the Energy Efficiency Limits and Energy Efficiency Grades of Dust Collectors (GB 37484), and the Technical Requirements for Evaluation of High Efficient Air Pollutant Control Equipment (GB/T 33017)."
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.1 Manufacturing of Advanced Environment al Protection Facilities,1.3.1.3 Equipment Manufacturing for Soil Pollution Control and Remediation,"Manufacturing and trading of equipment for mine reclamation and ecological restoration, remediation of soil pollution in agricultural land, and treatment and restoration of polluted land. The technical level of equipment is encouraged to meet specifications of the Comprehensive Environmental Protection Catalogue (2017 Edition), the Catalogue of Major Environmental Protection Equipment and Technology Encouraged by the State (2017 Edition), and other relevant policies and standards."
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.1 Manufacturing of Advanced Environment al Protection Facilities,1.3.1.4 Equipment Manufacturing for Solid Waste Treatment and Disposal,"Manufacturing and trading of equipment for sludge treatment (including black and smelly water desilting, bottom mud storage and treatment ), solid waste treatment, harmless and recycling treatment of household garbage, hazardous waste disposal, etc. The technical level of equipment is encouraged to meet specifications of the Comprehensive Environmental Protection Catalogue (2017 Edition), the Catalogue of Major Environmental Protection Equipment and Technology Encouraged by the State(2017 Edition) and other relevant policies and standards."
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.1 Manufacturing of Advanced Environment al Protection Facilities,1.3.1.5 Equipment Manufacturing for Shock-absorption and Noise-reduction,"Manufacturing and trading of sound barriers, mufflers, vibration isolation devices for power equipment, soft connection equipment for pipeline vibration isolation, track vibration and noise control devices, damping vibration suppression materials and equipment, active noise and vibration control equipment and other relevant equipment. The technical level of equipment is encouraged to meet specifications of the Comprehensive Environmental Protection Catalogue (2017 Edition), the National Catalogue of Major Environmental Protection Equipment and Technology Encouraged by the State (2017 Edition) and other relevant policies and standards."
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.1 Manufacturing of Advanced Environment al Protection Facilities,1.3.1.6 Equipment Manufacturing for Prevention and Treatment of Radioactive Contamination,"Manufacturing and trading of equipment for radioactive waste treatment and disposal, and treatment and remediation of contaminated soil from radioactive sources, etc."
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.1 Manufacturing of Advanced Environment al Protection Facilities,1.3.1.7 Manufacturing of Medicament and Materials for Environmental Pollution Treatment,"Manufacturing and trading of equipment and parts of environmental-friendly agents including de-phosphorus agent, germicide and algicide, and flocculant, and of dedusting bag filter materials and fibers, dedusting large-bore bag pulse valve, high-voltage pulse valve with low energy consumption and no diaphragm, and membrane materials and its assemblies, etc. And the manufacturing and trading of materials and chemical agents for environmental pollution control included in the  Catalogue of Major Environmental Protection Equipment and Technology Encouraged by the State (2017 Edition)."
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.1 Manufacturing of Advanced Environment al Protection Facilities,1.3.1.8 Manufacturing of Environmental Monitoring Instruments and Emergency treatment Equipment,"Manufacturing and trading of equipment and instruments for monitoring and testing of ecological environment including air, water, soil, biology, noise and vibration, solid waste, motor vehicle emission (including remote sensing monitoring and PEMS testing), nuclear and radiation, and other environmental emergency testing, and those included in the Comprehensive Environmental Protection Catalogue (2017Edition)and the  Catalogue of Major Environmental Protection Equipment and Technology Encouraged by the State (2017 Edition), in line with the Special Carbon-based Products for Integrated Flue Gas Purification (GB/T 35254) and the Technical Specifications for Detection of Flue Gas Denitrification Catalyst (GB/T 38219)."
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.2 Treatment of Sewage Water,1.3.2.1 Protection and Control of High-quality Water and Underground Water Environment,"Engineering measures for pollution control such as discarding mine and drilling, and sealing and backfilling water intake wells, ecological restoration and construction of headwater, reservoirs of lakes and rivers (with Grade III and above water quality), the construction of standardized drinking water source and backup water source, by adopting anti-pollution engineering measures such as pollution interception control, vegetation restoration, construction of biological buffer zones and scrapping, as well as pollution risk assessment and control, and protection of underground water in petrochemical areas, mining areas, and farmlands, etc."
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.2 Treatment of Sewage Water,1.3.2.2 Treatment and Control of Water Pollution in Major River and Sea Area,"Restoration to improve quality of water environment and restore the ecological function of waters, by adopting measures of pollution interception and control, garbage cleanup, river dredging, wetland protection and restoration, vegetation restoration, etc., Specifically, water environmental protection and comprehensive treatment of seven major river basins, coastal waters, and major lakes, such as monitoring and treatment of plastic waste in coastal areas."
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.2 Treatment of Sewage Water,1.3.2.3 Remediation and Treatment of Urban Black and Malodorous Water,"Comprehensive treatment and remediation of urban black and malodorous water, including sewage treatment, recycling, sewage pipeline construction and technical upgrading, sewage outlet renovation, construction and renovation of sewage interception system, internal source treatment, artificial wetland construction, garbage cleaning, and smart water management system, etc.. After the treatment, the water quality should meet the requirements of technical specifications and documents such as the Guidelines for Urban Black and Malodorous Water Remediation (published in 2015) and the Urban Black and Malodorous Water Remediation–Technical Guidelines for the Treatment of Drains, Pipelines and Inspection Wells (published in 2016)."
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.2 Treatment of Sewage Water,1.3.2.4 Prevention and Treatment of Ship and Port Pollution,"Construction and technical upgrading of pollution prevention and control purpose including construction of port oil and gas recovery system for the purpose of preventing pollution from ships, ships retrofit with exhaust pollution treatment equipment , construction of windbreak and dust suppression facilities in ore terminal yards, construction of port and ship pollutant receiving facilities, construction of shore power facilities, and the facilities to avoid alien species’ invasion caused by ship ballast water."
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.3 Treatment and Control of Air Pollution,1.3.3.1 Treatment and Control of Traffic Vehicles Pollution,"Pollution control of traffic vehicles by renovating and replacing old high-energy-consumption and high-emission operating vehicles with the vehicles that meet new energy efficiency and pollutant emission standards, by constructing real-time monitoring systems for pollution emissions from motor vehicles and non-road mobile machinery, by building road remote sensing, monitoring, and positioning systems, and by controlling pollution of vehicle maintenance waste oil, wastewater and exhaust gas."
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.3 Treatment and Control of Air Pollution,1.3.3.2 Comprehensive Treatment and Control of Urban Dust Pollution,"Comprehensive treatment and control of dust pollution in urban areas by setting up fully enclosed fences at construction sites, covering stacking material, adopting wet-mixed operational method of soil excavation, ground hardening on access roads, cleaning inbound and outbound vehicles, taking sealing measures for slag transport vehicles, mechanized road cleaning, and building green land and wind-proof and sand-proof forests in and around the cities."
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.3 Treatment and Control of Air Pollution,1.3.3.3 Treatment and Control of Food and Beverage Fume Pollution,"Treatment and Control of food and beverage fume pollution including installing high efficient fume purification facilities at catering service business premises, etc."
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.4 Treatment and Control of Soil and Other Pollution,1.3.4.1 Treatment and Control of Construction Land Pollution,"Treatment and control of construction land pollution including detailed investigation and monitoring, and risk assessment of construction land pollution, reduction of the level of soil pollutants by the use of physical, chemical, and biological engineering technical measures such as transfer, absorption, and degradation, etc., so as to ensure that the soil quality of construction land meets the environmental requirements for that of relevant planned sites and to improve the value of soil use ."
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.4 Treatment and Control of Soil and Other Pollution,1.3.4.2 Treatment and Control of Deserts Pollution,"Treatment and control of deserts pollution by physical measures such as cleaning, leaching, vitrification, heat treatment, and gas phase suction, etc., by chemical measures such as incineration, electric repair, chemical stabilization, etc., and by biological measures such as plant remediation, animal remediation, and microbial remediation, etc."
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.4 Treatment and Control of Soil and Other Pollution,1.3.4.3 Treatment and Control of Agricultural Land Pollution,"Detailed investigation, monitoring, and risk assessment of farmland soil pollution, and other activities including quality classification, safe use, risk control, and treatment and restoration of farmland soil environment, and evaluation of the treatment and restoration, etc."
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.4 Treatment and Control of Soil and Other Pollution,1.3.4.4 Treatment and Control of Noise Pollution,"Control and treatment of noise pollution from industrial enterprises, traffic, construction, and social life, etc."
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.4 Treatment and Control of Soil and Other Pollution,1.3.4.5 Treatment and Control of Odor Pollution,Control and treatment of odor pollution by installing purification devices or taking other engineering and technical measures for the enterprises and other entities that produce malodorous gas in their production and operation activities.
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.5 Comprehensive Improvement of Agricultural and Rural Environment,"1.3.5.1 Prevention and Control of Non-point Source Pollution in Agriculture, Forestry, and Prataculture","Activities to prevent and control farmland pollution, agricultural waste pollution, antibiotic pollution and other new types of pollution by integrated measures such as control at the source, interception in the process and reinforcement at the end; applications of agricultural clean production technology such as formula fertilization by soil testing, and farmland nitrogen and phosphorus interception and reuse, etc.; unified crop diseases and insect pests prevention and control , and green prevention and control service; centralized treatment and resource utilization of feces, large-scale livestock and poultry breeding and resource utilization of feces, harmless treatment facilities for sick and dead livestock and poultry, construction and operation of ecological trenches, sewage purification ponds and other facilities; prevention and control of agricultural plastic film pollution."
1. Energy Saving and Environmental Protection Industry,1.3 Pollution Prevention,1.3.5 Comprehensive Improvement of Agricultural and Rural Environment,1.3.5.2 Improvement of Rural Living Environment,"Comprehensive treatment projects to improve the production and living environment in rural areas, such as the construction and operation of rural household waste and sewage treatment facilities, comprehensive treatment of rural river courses, toilet sewage treatment, improvement of village appearance, and construction and operation of rural drinking water safety projects, etc. Rural sewage treatment facilities should comply with the technological requirements and national standards of rural household sewage treatment facilities evaluation."
1. Energy Saving and Environmental Protection Industry,1.4 Water Conservation and Unconventional Water Resources Utilization,1.4.1 Unconventional Water Resources Utilization,1.4.1.1 Desalination of Seawater and Brackish Water,Construction and operation of seawater and brackish water desalination facilities.
1. Energy Saving and Environmental Protection Industry,1.4 Water Conservation and Unconventional Water Resources Utilization,1.4.1 Unconventional Water Resources Utilization,"1.4.1.2 Rainwater Collection, Treatment, and Utilization","Construction and operation of rainwater collection, treatment and utilization facilities."
1. Energy Saving and Environmental Protection Industry,1.5 Comprehensive Utilization of Resources,1.5.1 Manufacturing of Resources Recycling Facilities,1.5.1.1Manufacturing of Equipment for Comprehensive Utilization of Mineral Resources,"Manufacturing and trading of comprehensive utilization facilities for energy minerals, ferrous metal minerals, non-ferrous metal (including rare metal) minerals, non-metallic mineral resources, etc."
1. Energy Saving and Environmental Protection Industry,1.5 Comprehensive Utilization of Resources,1.5.1 Manufacturing of Resources Recycling Facilities,1.5.1.2 Manufacturing of Equipment for Comprehensive Utilization of Industrial Solid Waste,"Manufacturing and trading of comprehensive utilization or secondary utilization facilities for desulfurized gypsum, phosphogypsum, chemical waste, smelting waste, tailings, red mud and other solid waste; manufacturing and trading of facilities for retrieving of metallurgical soot dust and high-efficient and low-cost recycling of rare precious metal."
1. Energy Saving and Environmental Protection Industry,1.5 Comprehensive Utilization of Resources,1.5.1 Manufacturing of Resources Recycling Facilities,1.5.1.3 Manufacturing of Equipment for Harmless Utilization of Construction and Transportation Waste,"Manufacturing and trading of mobile, fixed, or hybrid whole-set facilities for comprehensive utilization of wastes, which produce raw materials for roads and municipal facilities based on waste mixes, waste asphalt, sand and ash powder, etc. caused by building and road demolition and maintenance ; or recycling buildings and road wastes."
1. Energy Saving and Environmental Protection Industry,1.5 Comprehensive Utilization of Resources,1.5.1 Manufacturing of Resources Recycling Facilities,1.5.1.4 Manufacturing of Equipment for the Recycling and Harmless Treatment of Food Waste,"Manufacturing and trading of equipment for kitchen waste reduction, harmless treatment, and recovery of resources through using food waste to produce biodiesel, organic fertilizer, biogas, and industrial ethanol, etc., including the manufacturing and trading of equipment produced for classification and recycling, transportation, sorting, pre-processing, and recycling of resources and energy."
1. Energy Saving and Environmental Protection Industry,1.5 Comprehensive Utilization of Resources,1.5.1 Manufacturing of Resources Recycling Facilities,"1.5.1.5 Manufacturing of Remanufacturing Equipment for Automobile Components, Electromechanical Products","Manufacturing and trading of equipment that utilizes used car parts, waste electromechanical materials, recycled car parts, and electromechanical products. For example, manufacturing and trading of equipment for dismantling and cleaning of used auto parts, large-scale power rotating electromechanical products, and used electromechanical products; and for the integration of electroplating, cladding, and molding."
1. Energy Saving and Environmental Protection Industry,1.5 Comprehensive Utilization of Resources,1.5.1 Manufacturing of Resources Recycling Facilities,1.5.1.6 Manufacturing of Facilities for Resources Recycle and Reuse,"Manufacturing and trading of equipment for harmless recycling of scrap metal such as used power batteries, tires, electromechanical products, etc., rubber, glass, biomass materials, etc., in line with the Technological Guidance for Recycle and Reuse of Waste Lubricating Oil (GB/T 17145), the Labels for Recyclable Products and Parts (GB/T 23384), the General Requirements and Labels for Recycled and Remanufactured Products (GB/T 27611), the Test Method for Oxidation Resistance of Nitrogen Oxide Materials -Variable Temperature Oxidation (GB/T 32329) and other national standards."
1. Energy Saving and Environmental Protection Industry,1.5 Comprehensive Utilization of Resources,1.5.1 Manufacturing of Resources Recycling Facilities,1.5.1.7 Manufacturing of Facilities for the Use of Unconventional Water Resources,"Manufacturing and trading of equipment for the use of unconventional water resources such as treatment and recycling equipment for industrial wastewater and urban household sewage; collection, treatment, and recycling equipment for mine water, brackish water, and rainwater; and seawater desalination treatment and recycling equipment, etc.."
1. Energy Saving and Environmental Protection Industry,1.5 Comprehensive Utilization of Resources,1.5.1 Manufacturing of Resources Recycling Facilities,1.5.1.8 Manufacturing of Facilities for the Recycling and Harmless Treatment of Agricultural and Forestry Residues,"Manufacturing and trading of equipment for the recycling and harmless treatment of agricultural and forestry residues, which produce fermented feed, biogas, bio-natural gas, solid fuel, and organic fertilizers, etc. based on using agricultural and forestry wastes such as straw, livestock and poultry feces, and rural toilet feces, etc.."
